Team1,Team2,Winner,Loser,Margin,Ground,Date,Scorecard,MatchCount,Country,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,9 runs,Mirpur,10/14/2010,ODI # 3056,3056,Bangladesh,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,3 runs,Mirpur,10/17/2010,ODI # 3058,3058,Bangladesh,New Zealand
India,New Zealand,India,New Zealand,40 runs,Guwahati,11/28/2010,ODI # 3070,3070,India,New Zealand
India,New Zealand,India,New Zealand,8 wickets,Jaipur,12/1/2010,ODI # 3072,3072,India,New Zealand
India,New Zealand,India,New Zealand,9 wickets,Vadodara,12/4/2010,ODI # 3074,3074,India,New Zealand
India,New Zealand,India,New Zealand,5 wickets,Bengaluru,12/7/2010,ODI # 3076,3076,India,New Zealand
India,New Zealand,India,New Zealand,8 wickets,Chennai,12/10/2010,ODI # 3077,3077,India,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,9 wickets,Wellington,1/22/2011,ODI # 3085,3085,New Zealand,New Zealand
New Zealand,Pakistan,no result,New Zealand,,Queenstown,1/26/2011,ODI # 3088,3088,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,43 runs,Christchurch,1/29/2011,ODI # 3090,3090,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,2 wickets,Napier,2/1/2011,ODI # 3093,3093,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,41 runs,Hamilton,2/3/2011,ODI # 3095,3095,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,57 runs,Auckland,2/5/2011,ODI # 3097,3097,New Zealand,New Zealand
Kenya,New Zealand,New Zealand,Kenya,10 wickets,Chennai,2/20/2011,ODI # 3101,3101,India,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,Nagpur,2/25/2011,ODI # 3107,3107,India,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,10 wickets,Ahmedabad,3/4/2011,ODI # 3117,3117,India,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,110 runs,Pallekele,3/8/2011,ODI # 3123,3123,Sri Lanka,New Zealand
Canada,New Zealand,New Zealand,Canada,97 runs,Wankhede,3/13/2011,ODI # 3129,3129,India,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,112 runs,Wankhede,3/18/2011,ODI # 3137,3137,India,New Zealand
New Zealand,South Africa,New Zealand,South Africa,49 runs,Mirpur,3/25/2011,ODI # 3144,3144,Bangladesh,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,5 wickets,Colombo (RPS),3/29/2011,ODI # 3146,3146,Sri Lanka,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,9 wickets,Harare,10/20/2011,ODI # 3204,3204,Zimbabwe,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,4 wickets,Harare,10/22/2011,ODI # 3206,3206,Zimbabwe,New Zealand
Zimbabwe,New Zealand,Zimbabwe,New Zealand,1 wicket,Bulawayo,10/25/2011,ODI # 3209,3209,Zimbabwe,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,90 runs,Dunedin,2/3/2012,ODI # 3230,3230,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,141 runs,Whangarei,2/6/2012,ODI # 3232,3232,New Zealand,New Zealand
New Zealand,Zimbabwe,New Zealand,Zimbabwe,202 runs,Napier,2/9/2012,ODI # 3234,3234,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,6 wickets,Wellington,2/25/2012,ODI # 3249,3249,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,6 wickets,Napier,2/29/2012,ODI # 3252,3252,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,5 wickets,Auckland,3/3/2012,ODI # 3254,3254,New Zealand,New Zealand
West Indies,New Zealand,West Indies,New Zealand,9 wickets,Kingston,7/5/2012,ODI # 3283,3283,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,55 runs,Kingston,7/7/2012,ODI # 3285,3285,West Indies,New Zealand
West Indies,New Zealand,New Zealand,West Indies,88 runs,Basseterre,7/11/2012,ODI # 3288,3288,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,24 runs,Basseterre,7/14/2012,ODI # 3289,3289,West Indies,New Zealand
West Indies,New Zealand,West Indies,New Zealand,20 runs,Basseterre,7/16/2012,ODI # 3290,3290,West Indies,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,14 runs,Pallekele,11/4/2012,ODI # 3305,3305,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,7 wickets,Pallekele,11/6/2012,ODI # 3306,3306,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,7 wickets,Hambantota,11/10/2012,ODI # 3307,3307,Sri Lanka,New Zealand
Sri Lanka,New Zealand,no result,Sri Lanka,,Hambantota,11/12/2012,ODI # 3308,3308,Sri Lanka,New Zealand
South Africa,New Zealand,New Zealand,South Africa,1 wicket,Paarl,1/19/2013,ODI # 3323,3323,South Africa,New Zealand
South Africa,New Zealand,New Zealand,South Africa,27 runs,Kimberley,1/22/2013,ODI # 3325,3325,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,1 wicket,Potchefstroom,1/25/2013,ODI # 3328,3328,South Africa,New Zealand
New Zealand,England,New Zealand,England,3 wickets,Hamilton,2/17/2013,ODI # 3335,3335,New Zealand,New Zealand
New Zealand,England,England,New Zealand,8 wickets,Napier,2/20/2013,ODI # 3336,3336,New Zealand,New Zealand
New Zealand,England,England,New Zealand,5 wickets,Auckland,2/23/2013,ODI # 3338,3338,New Zealand,New Zealand
England,New Zealand,New Zealand,England,5 wickets,Lord's,5/31/2013,ODI # 3360,3360,England,New Zealand
England,New Zealand,New Zealand,England,86 runs,Southampton,6/2/2013,ODI # 3361,3361,England,New Zealand
England,New Zealand,England,New Zealand,34 runs,Nottingham,6/5/2013,ODI # 3362,3362,England,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,1 wicket,Cardiff,6/9/2013,ODI # 3366,3366,Wales,New Zealand
Australia,New Zealand,no result,Australia,,Birmingham,6/12/2013,ODI # 3369,3369,England,New Zealand
England,New Zealand,England,New Zealand,10 runs,Cardiff,6/16/2013,ODI # 3373,3373,Wales,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,43 runs,Mirpur,10/29/2013,ODI # 3423,3423,Bangladesh,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,40 runs,Mirpur,10/31/2013,ODI # 3426,3426,Bangladesh,New Zealand
Bangladesh,New Zealand,Bangladesh,New Zealand,4 wickets,Fatullah,11/3/2013,ODI # 3429,3429,Bangladesh,New Zealand
Sri Lanka,New Zealand,no result,Sri Lanka,,Hambantota,11/10/2013,ODI # 3432,3432,Sri Lanka,New Zealand
Sri Lanka,New Zealand,New Zealand,Sri Lanka,4 wickets,Hambantota,11/12/2013,ODI # 3434,3434,Sri Lanka,New Zealand
Sri Lanka,New Zealand,Sri Lanka,New Zealand,36 runs,Dambulla,11/16/2013,ODI # 3435,3435,Sri Lanka,New Zealand
New Zealand,West Indies,West Indies,New Zealand,2 wickets,Auckland,12/26/2013,ODI # 3449,3449,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,159 runs,Queenstown,1/1/2014,ODI # 3451,3451,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,58 runs,Nelson,1/4/2014,ODI # 3452,3452,New Zealand,New Zealand
New Zealand,West Indies,West Indies,New Zealand,203 runs,Hamilton,1/8/2014,ODI # 3453,3453,New Zealand,New Zealand
New Zealand,India,New Zealand,India,24 runs,Napier,1/19/2014,ODI # 3456,3456,New Zealand,New Zealand
New Zealand,India,New Zealand,India,15 runs,Hamilton,1/22/2014,ODI # 3458,3458,New Zealand,New Zealand
New Zealand,India,tied,New Zealand,,Auckland,1/25/2014,ODI # 3462,3462,New Zealand,New Zealand
New Zealand,India,New Zealand,India,7 wickets,Hamilton,1/28/2014,ODI # 3465,3465,New Zealand,New Zealand
New Zealand,India,New Zealand,India,87 runs,Wellington,1/31/2014,ODI # 3467,3467,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,6 wickets,Mount Maunganui,10/21/2014,ODI # 3536,3536,New Zealand,New Zealand
New Zealand,South Africa,South Africa,New Zealand,72 runs,Mount Maunganui,10/24/2014,ODI # 3537,3537,New Zealand,New Zealand
New Zealand,South Africa,no result,New Zealand,,Hamilton,10/27/2014,ODI # 3538,3538,New Zealand,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,3 wickets,Dubai (DSC),12/8/2014,ODI # 3564,3564,United Arab Emirates,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,4 wickets,Sharjah,12/12/2014,ODI # 3566,3566,United Arab Emirates,New Zealand
New Zealand,Pakistan,Pakistan,New Zealand,147 runs,Sharjah,12/14/2014,ODI # 3568,3568,United Arab Emirates,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 runs,Abu Dhabi,12/17/2014,ODI # 3570,3570,United Arab Emirates,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,68 runs,Abu Dhabi,12/19/2014,ODI # 3571,3571,United Arab Emirates,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,3 wickets,Christchurch,1/11/2015,ODI # 3574,3574,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,6 wickets,Hamilton,1/15/2015,ODI # 3577,3577,New Zealand,New Zealand
New Zealand,Sri Lanka,no result,New Zealand,,Auckland,1/17/2015,ODI # 3580,3580,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,4 wickets,Nelson,1/20/2015,ODI # 3585,3585,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,108 runs,Dunedin,1/23/2015,ODI # 3588,3588,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,120 runs,Dunedin,1/25/2015,ODI # 3590,3590,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,34 runs,Wellington,1/29/2015,ODI # 3594,3594,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,7 wickets,Wellington,1/31/2015,ODI # 3596,3596,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,119 runs,Napier,2/3/2015,ODI # 3598,3598,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,98 runs,Christchurch,2/14/2015,ODI # 3599,3599,New Zealand,New Zealand
New Zealand,Scotland,New Zealand,Scotland,3 wickets,Dunedin,2/17/2015,ODI # 3604,3604,New Zealand,New Zealand
New Zealand,England,New Zealand,England,8 wickets,Wellington,2/20/2015,ODI # 3607,3607,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,1 wicket,Auckland,2/28/2015,ODI # 3617,3617,New Zealand,New Zealand
New Zealand,Afghanistan,New Zealand,Afghanistan,6 wickets,Napier,3/8/2015,ODI # 3628,3628,New Zealand,New Zealand
New Zealand,Bangladesh,New Zealand,Bangladesh,3 wickets,Hamilton,3/13/2015,ODI # 3634,3634,New Zealand,New Zealand
New Zealand,West Indies,New Zealand,West Indies,143 runs,Wellington,3/21/2015,ODI # 3643,3643,New Zealand,New Zealand
New Zealand,South Africa,New Zealand,South Africa,4 wickets,Auckland,3/24/2015,ODI # 3644,3644,New Zealand,New Zealand
Australia,New Zealand,Australia,New Zealand,7 wickets,Melbourne,3/29/2015,ODI # 3646,3646,Australia,New Zealand
England,New Zealand,England,New Zealand,210 runs,Birmingham,6/9/2015,ODI # 3654,3654,England,New Zealand
England,New Zealand,New Zealand,England,13 runs,The Oval,6/12/2015,ODI # 3655,3655,England,New Zealand
England,New Zealand,New Zealand,England,3 wickets,Southampton,6/14/2015,ODI # 3656,3656,England,New Zealand
England,New Zealand,England,New Zealand,7 wickets,Nottingham,6/17/2015,ODI # 3657,3657,England,New Zealand
England,New Zealand,England,New Zealand,3 wickets,Chester-le-Street,6/20/2015,ODI # 3659,3659,England,New Zealand
Zimbabwe,New Zealand,Zimbabwe,New Zealand,7 wickets,Harare,8/2/2015,ODI # 3673,3673,Zimbabwe,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,10 wickets,Harare,8/4/2015,ODI # 3674,3674,Zimbabwe,New Zealand
Zimbabwe,New Zealand,New Zealand,Zimbabwe,38 runs,Harare,8/7/2015,ODI # 3675,3675,Zimbabwe,New Zealand
South Africa,New Zealand,South Africa,New Zealand,20 runs,Centurion,8/19/2015,ODI # 3676,3676,South Africa,New Zealand
South Africa,New Zealand,New Zealand,South Africa,8 wickets,Potchefstroom,8/23/2015,ODI # 3677,3677,South Africa,New Zealand
South Africa,New Zealand,South Africa,New Zealand,62 runs,Durban,8/26/2015,ODI # 3678,3678,South Africa,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,7 wickets,Christchurch,12/26/2015,ODI # 3714,3714,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,10 wickets,Christchurch,12/28/2015,ODI # 3715,3715,New Zealand,New Zealand
New Zealand,Sri Lanka,Sri Lanka,New Zealand,8 wickets,Nelson,12/31/2015,ODI # 3717,3717,New Zealand,New Zealand
New Zealand,Sri Lanka,no result,New Zealand,,Nelson,1/2/2016,ODI # 3718,3718,New Zealand,New Zealand
New Zealand,Sri Lanka,New Zealand,Sri Lanka,36 runs,Mount Maunganui,1/5/2016,ODI # 3721,3721,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,70 runs,Wellington,1/25/2016,ODI # 3728,3728,New Zealand,New Zealand
New Zealand,Pakistan,New Zealand,Pakistan,3 wickets,Auckland,1/31/2016,ODI # 3730,3730,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,159 runs,Auckland,2/3/2016,ODI # 3731,3731,New Zealand,New Zealand
New Zealand,Australia,Australia,New Zealand,4 wickets,Wellington,2/6/2016,ODI # 3733,3733,New Zealand,New Zealand
New Zealand,Australia,New Zealand,Australia,55 runs,Hamilton,2/8/2016,ODI # 3735,3735,New Zealand,New Zealand
India,New Zealand,India,New Zealand,6 wickets,Dharamsala,10/16/2016,ODI # 3796,3796,India,New Zealand
India,New Zealand,New Zealand,India,6 runs,Delhi,10/20/2016,ODI # 3797,3797,India,New Zealand
